"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","stradbrokensis","Limnopsalta stradbrokensis (Distant, 1915)","","Limnopsalta","","stradbrokensis","","Generic Combination","","Species","","Distant","1915","N","b95042a3-4006-4452-b3a0-96f18bf233d2","20250530T00:56:36.273+0000","1240cc6e-c09e-4bc1-b841-11f7e0023f0a","20250729T23:16:11.865+0000","","f30be675-c56a-4d63-ad28-2fd2a2b16565","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","Marteena","Marteena Moulds, 1986","CICADIDAE","Marteena","","","","Valid Name","","Genus","","Moulds","1986","Y","4423520f-8273-4961-88df-30da99dc173e","20250530T00:56:36.273+0000","20837ac7-72e1-46ba-8299-ebf25c473dc4","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","20837ac7-72e1-46ba-8299-ebf25c473dc4","","","","","","","","","","","","","","",""
"","","Marteena","Marteena Moulds, 1986","","Marteena","","","","Synonym","synonym","Genus","","Moulds","1986","Y","4289734a-b6ea-40e9-97fb-c84f4840ac52","20250530T00:56:36.273+0000","20837ac7-72e1-46ba-8299-ebf25c473dc4","20250729T23:16:11.865+0000","","f61935b1-3d34-4a0a-9930-c9ca719b90b9","Moulds, M.S.","1986","<i>Marteena</i>, a new genus for the cicada <i>Tibicen rubricinctus</i> Goding & Froggatt (Homoptera: Tibicinidae)","39-42","","General and Applied Entomology","","","","<!--MARK--><a href='null5ea863d8-c8fe-41bd-9bbb-ab0ce966b1d5' class='mouseoverHref'>Moulds, M.S. 1986. <i>Marteena</i>, a new genus for the cicada <i>Tibicen rubricinctus</i> Goding & Froggatt (Homoptera: Tibicinidae).</a> <!--MARK--><!--MARK--><a href='null7f6c6200-1dda-4b05-a6e0-2c3387a6cd38' class='mouseoverHref'><em>General and Applied Entomology</em></a> <strong>18</strong>: 39-42<!--MARK-->","","Article in Journal","5ea863d8-c8fe-41bd-9bbb-ab0ce966b1d5","20081009T05:11:37.000+0000","7f6c6200-1dda-4b05-a6e0-2c3387a6cd38"
"","","rubricincta","Marteena rubricincta (Goding & Froggatt, 1904)","CICADIDAE","Marteena","","rubricincta","","Valid Name","","Species","","Goding & Froggatt","1904","N","83049ba8-53a1-490a-96e1-0323890cec5c","20250530T00:56:36.273+0000","bcec5e28-a2e2-4212-9cbc-34b68b2b9855","20250729T23:16:11.865+0000","20837ac7-72e1-46ba-8299-ebf25c473dc4","bcec5e28-a2e2-4212-9cbc-34b68b2b9855","","","","","","","","","","","","","","",""
"","","rubricinctus","Tibicen rubricinctus Goding & Froggatt, 1904","","Tibicen","","rubricinctus","","Synonym","synonym","Species","","Goding & Froggatt","1904","Y","21670ac1-431a-4606-b720-37212f7cb6cb","20250530T00:56:36.273+0000","bcec5e28-a2e2-4212-9cbc-34b68b2b9855","20250729T23:16:11.865+0000","","0ddd67ab-fd0e-4d5e-bb3f-7969bf8bbbae","Goding, F.W. & Froggatt, W.W.","1904","Monograph of the Australian Cicadidae","561-670, pls xviii, xix","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null30bf2cf0-4761-423b-9abb-c236e145611a' class='mouseoverHref'>Goding, F.W. & Froggatt, W.W. 1904. Monograph of the Australian Cicadidae.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>29</strong>(3): 561-670, pls xviii, xix<!--MARK-->","","Article in Journal","30bf2cf0-4761-423b-9abb-c236e145611a","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","Mugadina","Mugadina Moulds, 2012","CICADIDAE","Mugadina","","","","Valid Name","","Genus","","Moulds","2012","Y","2adb3f9d-f19c-4ccd-b8d4-48e88871c963","20250530T00:56:36.273+0000","35fd329e-2f1a-4a2f-b96f-cb4f051a0711","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","35fd329e-2f1a-4a2f-b96f-cb4f051a0711","","","","","","","","","","","","","","",""
"","","Mugadina","Mugadina Moulds, 2012","","Mugadina","","","","Synonym","synonym","Genus","","Moulds","2012","Y","da48272c-7255-4952-8899-8e7c9d649e62","20250530T00:56:36.273+0000","35fd329e-2f1a-4a2f-b96f-cb4f051a0711","20250729T23:16:11.865+0000","","f90bbd3f-3d44-45bb-a93e-516dfcef0906","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","hamiltoni","Mugadina hamiltoni Ewart, 2022","CICADIDAE","Mugadina","","hamiltoni","","Valid Name","","Species","","Ewart","2022","Y","3916b646-6508-43e7-b2b1-7f1bd10f2888","20250530T00:56:36.273+0000","c025a0ac-cc5b-4bf6-a24f-8b194b5fa8a4","20250729T23:16:11.865+0000","35fd329e-2f1a-4a2f-b96f-cb4f051a0711","c025a0ac-cc5b-4bf6-a24f-8b194b5fa8a4","","","","","","","","","","","","","","",""
"","","hamiltoni","Mugadina hamiltoni Ewart, 2022","CICADIDAE","Mugadina","","hamiltoni","","Synonym","synonym","Species","","Ewart","2022","Y","3309091f-613e-435e-9d8e-7a1487b3de54","20250530T00:56:36.273+0000","c025a0ac-cc5b-4bf6-a24f-8b194b5fa8a4","20250729T23:16:11.865+0000","","38de9af6-f509-4d26-9ca1-97d306daa6c6","Ewart, A.","2022","Two new, very small, grassland cicadas in the genus <i>Mugadina</i> Moulds, 2012 from western Queensland, Australia (Homoptera: Cicadidae).","51-66","","Australian Entomologist","","","","<!--MARK--><a href='null9e738e4a-a627-4740-ad0a-b32c138cc2b1' class='mouseoverHref'>Ewart, A. 2022. Two new, very small, grassland cicadas in the genus <i>Mugadina</i> Moulds, 2012 from western Queensland, Australia (Homoptera: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null3ffa056e-e79b-45d8-a5e0-27f16422b74e' class='mouseoverHref'><em>Australian Entomologist</em></a> <strong>49</strong>(1): 51-66<!--MARK-->","","Article in Journal","9e738e4a-a627-4740-ad0a-b32c138cc2b1","20220819T05:01:33.691+0000","3ffa056e-e79b-45d8-a5e0-27f16422b74e"
"","","cloncurryi","Mugadina cloncurryi Ewart, 2022","CICADIDAE","Mugadina","","cloncurryi","","Valid Name","","Species","","Ewart","2022","Y","e4074f71-8029-4372-95d0-43d331b9b4d3","20250530T00:56:36.273+0000","440dab87-ad5a-4739-a68a-a4f0b2d6d371","20250729T23:16:11.865+0000","35fd329e-2f1a-4a2f-b96f-cb4f051a0711","440dab87-ad5a-4739-a68a-a4f0b2d6d371","","","","","","","","","","","","","","",""
"","","cloncurryi","Mugadina cloncurryi Ewart, 2022","CICADIDAE","Mugadina","","cloncurryi","","Synonym","synonym","Species","","Ewart","2022","Y","ca81b288-a889-4fba-ae52-6fb33ea731d3","20250530T00:56:36.273+0000","440dab87-ad5a-4739-a68a-a4f0b2d6d371","20250729T23:16:11.865+0000","","068615de-e97f-4942-809e-cf15b8d0a38b","Ewart, A.","2022","Two new, very small, grassland cicadas in the genus <i>Mugadina</i> Moulds, 2012 from western Queensland, Australia (Homoptera: Cicadidae).","51-66","","Australian Entomologist","","","","<!--MARK--><a href='null9e738e4a-a627-4740-ad0a-b32c138cc2b1' class='mouseoverHref'>Ewart, A. 2022. Two new, very small, grassland cicadas in the genus <i>Mugadina</i> Moulds, 2012 from western Queensland, Australia (Homoptera: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null3ffa056e-e79b-45d8-a5e0-27f16422b74e' class='mouseoverHref'><em>Australian Entomologist</em></a> <strong>49</strong>(1): 51-66<!--MARK-->","","Article in Journal","9e738e4a-a627-4740-ad0a-b32c138cc2b1","20220819T05:01:33.691+0000","3ffa056e-e79b-45d8-a5e0-27f16422b74e"
"","","emma","Mugadina emma (Goding & Froggatt, 1904)","CICADIDAE","Mugadina","","emma","","Valid Name","","Species","","Goding & Froggatt","1904","N","e2afcecd-ba2e-44dd-bf18-2baba7e34d3a","20250530T00:56:36.273+0000","20ee33ea-10f0-4e4c-ae45-dfa6452fa9b8","20250729T23:16:11.865+0000","35fd329e-2f1a-4a2f-b96f-cb4f051a0711","20ee33ea-10f0-4e4c-ae45-dfa6452fa9b8","","","","","","","","","","","","","","",""
"","","emma","Pauropsalta emma Goding & Froggatt, 1904","","Pauropsalta","","emma","","Synonym","synonym","Species","","Goding & Froggatt","1904","Y","b06528fb-80d7-4d48-b3e1-a7071eeda5e1","20250530T00:56:36.273+0000","20ee33ea-10f0-4e4c-ae45-dfa6452fa9b8","20250729T23:16:11.865+0000","","e1504824-5867-439b-b577-472e35e1dfb2","Goding, F.W. & Froggatt, W.W.","1904","Monograph of the Australian Cicadidae","561-670, pls xviii, xix","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null30bf2cf0-4761-423b-9abb-c236e145611a' class='mouseoverHref'>Goding, F.W. & Froggatt, W.W. 1904. Monograph of the Australian Cicadidae.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>29</strong>(3): 561-670, pls xviii, xix<!--MARK-->","","Article in Journal","30bf2cf0-4761-423b-9abb-c236e145611a","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","emma","Mugadina emma (Goding & Froggatt, 1904)","","Mugadina","","emma","","Generic Combination","","Species","","Goding & Froggatt","1904","N","2ceb82e3-ecc2-4943-bfd4-1a25114bd6af","20250530T00:56:36.273+0000","20ee33ea-10f0-4e4c-ae45-dfa6452fa9b8","20250729T23:16:11.865+0000","","78333c61-9a01-41d3-91ba-eb797fd1a1a6","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","festiva","Mugadina festiva (Distant, 1907)","CICADIDAE","Mugadina","","festiva","","Valid Name","","Species","","Distant","1907","N","d8c50cb4-4954-4ed7-802b-ae5fc04ef4c2","20250530T00:56:36.273+0000","e4239151-3f3c-4da9-8a9f-e49b90b7176d","20250729T23:16:11.865+0000","35fd329e-2f1a-4a2f-b96f-cb4f051a0711","e4239151-3f3c-4da9-8a9f-e49b90b7176d","","","","","","","","","","","","","","",""
"","","festiva","Urabunana festiva Distant, 1907","","Urabunana","","festiva","","Synonym","synonym","Species","","Distant","1907","Y","868a9582-8d83-438f-befe-a8be2f70eae0","20250530T00:56:36.273+0000","e4239151-3f3c-4da9-8a9f-e49b90b7176d","20250729T23:16:11.865+0000","","c2d138ca-d63d-4b71-bd71-51ed64ac8b9d","Distant, W.L.","1907","Rhynchotal notes.--XLIII","411-423","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null5fb76f11-c0f2-49be-a007-8b426ca8862d' class='mouseoverHref'>Distant, W.L. 1907. Rhynchotal notes.--XLIII.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 7 <strong>20</strong>: 411-423<!--MARK-->","","Article in Journal","5fb76f11-c0f2-49be-a007-8b426ca8862d","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","festiva","Mugadina festiva (Distant, 1907)","","Mugadina","","festiva","","Generic Combination","","Species","","Distant","1907","N","19a175a3-1eeb-4ad1-8bec-501670acb63b","20250530T00:56:36.273+0000","e4239151-3f3c-4da9-8a9f-e49b90b7176d","20250729T23:16:11.865+0000","","920bacf0-7132-42ca-be32-8f57b3eb26bd","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","marshalli","Mugadina marshalli (Distant, 1911)","CICADIDAE","Mugadina","","marshalli","","Valid Name","","Species","","Distant","1911","N","d891381c-1ba0-43f3-bcf6-b9c9dc0d9344","20250530T00:56:36.273+0000","eae6a9cb-9137-49c9-8b61-3891b153afdd","20250729T23:16:11.865+0000","35fd329e-2f1a-4a2f-b96f-cb4f051a0711","eae6a9cb-9137-49c9-8b61-3891b153afdd","","","","","","","","","","","","","","",""
"","","marshalli","Urabunana marshalli Distant, 1911","","Urabunana","","marshalli","","Synonym","synonym","Species","","Distant","1911","Y","d347b10d-0102-4d95-8bfb-2d80542795d9","20250530T00:56:36.273+0000","eae6a9cb-9137-49c9-8b61-3891b153afdd","20250729T23:16:11.865+0000","","9ebfea0f-024f-4ff5-88cb-4b57092d6cdb","Distant, W.L.","1911","New genera and species of Cicadidae","132-137","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null6ec4d5c5-3695-49c1-b353-71b85ada4b74' class='mouseoverHref'>Distant, W.L. 1911. New genera and species of Cicadidae.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 8 <strong>8</strong>: 132-137<!--MARK-->","","Article in Journal","6ec4d5c5-3695-49c1-b353-71b85ada4b74","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","marshalli","Mugadina marshalli (Distant, 1911)","","Mugadina","","marshalli","","Generic Combination","","Species","","Distant","1911","N","70b6b44c-7770-4390-b929-d8ee3fd7da71","20250530T00:56:36.273+0000","eae6a9cb-9137-49c9-8b61-3891b153afdd","20250729T23:16:11.865+0000","","329f8e00-2b58-4af7-88bc-ade9236449bc","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","superba","Mugadina superba Ewart & Moulds, 2021","CICADIDAE","Mugadina","","superba","","Valid Name","","Species","","Ewart & Moulds","2021","Y","03b839e9-594d-42bf-9cd3-01db785fac53","20250530T00:56:36.273+0000","a5216055-9e25-4bdb-b982-952615c0e12b","20250729T23:16:11.865+0000","35fd329e-2f1a-4a2f-b96f-cb4f051a0711","a5216055-9e25-4bdb-b982-952615c0e12b","","","","","","","","","","","","","","",""
"","","superba","Mugadina superba Ewart & Moulds, 2021","CICADIDAE","Mugadina","","superba","","Synonym","synonym","Species","","Ewart & Moulds","2021","Y","e065211f-edc1-4d30-8a36-3431276532e6","20250530T00:56:36.273+0000","a5216055-9e25-4bdb-b982-952615c0e12b","20250729T23:16:11.865+0000","","2c96079e-e029-455d-9f55-40ebb5e988ba","Ewart, A. & Moulds, M.S.","2021","An impressive new species of mugadina from queensland with notes on a congeneric species (cicadidae: cicadettinae: cicadettini)","563-576","","Zootaxa","","","","<!--MARK--><a href='null57cbac25-ad2e-4943-8d4f-1911993f57e0' class='mouseoverHref'>Ewart, A. & Moulds, M.S. 2021. An impressive new species of mugadina from queensland with notes on a congeneric species (cicadidae: cicadettinae: cicadettini).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>4963</strong>(3): 563-576<!--MARK-->","","Article in Journal","57cbac25-ad2e-4943-8d4f-1911993f57e0","20210907T05:29:30.640+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","Myopsalta","Myopsalta Moulds, 2012","CICADIDAE","Myopsalta","","","","Valid Name","","Genus","","Moulds","2012","Y","125a04a1-b113-4674-a98c-c2e0e547aa34","20250530T00:56:36.273+0000","f8c0913f-4701-4ed0-b351-eeccf03ea857","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","f8c0913f-4701-4ed0-b351-eeccf03ea857","","","","","","","","","","","","","","",""
"","","Myopsalta","Myopsalta Moulds, 2012","","Myopsalta","","","","Synonym","synonym","Genus","","Moulds","2012","Y","6a58dda9-b409-4801-9692-096c2df6e31d","20250530T00:56:36.273+0000","f8c0913f-4701-4ed0-b351-eeccf03ea857","20250729T23:16:11.865+0000","","802b7e3b-cd36-44ea-9a72-d1926aa1eb7e","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","bisonabilis","Myopsalta bisonabilis Popple & Stolarski, 2024","CICADIDAE","Myopsalta","","bisonabilis","","Valid Name","","Species","","Popple & Stolarski","2024","Y","d07adb74-7e06-487a-83ae-4d170637157a","20250710T05:12:24.103+0000","20b26a67-8880-445e-91e3-a2156b8c2840","20250729T23:16:11.865+0000","f8c0913f-4701-4ed0-b351-eeccf03ea857","20b26a67-8880-445e-91e3-a2156b8c2840","","","","","","","","","","","","","","",""
"","","bisonabilis","Myopsalta bisonabilis Popple & Stolarski, 2024","CICADIDAE","Myopsalta","","bisonabilis","","Synonym","synonym","Species","","Popple & Stolarski","2024","Y","831720bd-4d1e-48d3-acff-487d374d4873","20250710T05:11:49.186+0000","20b26a67-8880-445e-91e3-a2156b8c2840","20250729T23:16:11.865+0000","","79b049a4-f3cc-4135-ad23-2a05dc9fb2fc","Popple, L.W. & Stolarski, A.M.P","2024","A new species of <em>Myospalta</em> Moulds (Hemiptera: Cicadidae) from South Australia","31-41","","Australian Entomologist","","19 April 2024","","<!--MARK--><a href='nulld7093915-0f84-4328-b254-4a0cca68ce5c' class='mouseoverHref'>Popple, L.W. & Stolarski, A.M.P 2024. A new species of <em>Myospalta</em> Moulds (Hemiptera: Cicadidae) from South Australia.</a> <!--MARK--><!--MARK--><a href='null94a942c7-a62e-4089-8318-ea363e0a4384' class='mouseoverHref'><em>Australian Entomologist</em></a> <strong>51</strong>(1): 31-41<!--MARK--> [Date published 19 April 2024]","","Article in Journal","d7093915-0f84-4328-b254-4a0cca68ce5c","20250710T04:59:10.289+0000","94a942c7-a62e-4089-8318-ea363e0a4384"
"","","albiventris","Myopsalta albiventris Popple, 2017","CICADIDAE","Myopsalta","","albiventris","","Valid Name","","Species","","Popple","2017","Y","1b6fb188-4bfb-420b-be07-4215628b34b1","20250530T00:56:36.273+0000","2e9a8324-7a07-42bb-ab25-3c1cda886003","20250729T23:16:11.865+0000","f8c0913f-4701-4ed0-b351-eeccf03ea857","2e9a8324-7a07-42bb-ab25-3c1cda886003","","","","","","","","","","","","","","",""
"","","albiventris","Myopsalta albiventris Popple, 2017","CICADIDAE","Myopsalta","","albiventris","","Synonym","synonym","Species","","Popple","2017","Y","8b875d64-4fea-41d1-ae83-0d65abf17ffb","20250530T00:56:36.273+0000","2e9a8324-7a07-42bb-ab25-3c1cda886003","20250729T23:16:11.865+0000","","44245315-2e16-4438-8636-d6efca633efe","Popple, L.W.","2017","A revision of the <i>Myopsalta crucifera</i> (Ashton) species group (Hemiptera: Cicadidae: Cicadettini) with 14 new species from mainland Australia","1-98","","Zootaxa","","","","<!--MARK--><a href='nulla8447363-5982-472b-b54a-f40476f50f5b' class='mouseoverHref'>Popple, L.W. 2017. A revision of the <i>Myopsalta crucifera</i> (Ashton) species group (Hemiptera: Cicadidae: Cicadettini) with 14 new species from mainland Australia.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>4340</strong>(1): 1-98<!--MARK-->","","Article in Journal","a8447363-5982-472b-b54a-f40476f50f5b","20180209T01:29:03.288+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","atrata","Myopsalta atrata (Goding & Froggatt, 1904)","CICADIDAE","Myopsalta","","atrata","","Valid Name","","Species","","Goding & Froggatt","1904","N","44c12b07-0804-4cec-99fc-6ce6358c3c55","20250530T00:56:36.273+0000","5a7e4ce8-bded-474b-88e4-97fa621c0003","20250729T23:16:11.865+0000","f8c0913f-4701-4ed0-b351-eeccf03ea857","5a7e4ce8-bded-474b-88e4-97fa621c0003","","","","","","","","","","","","","","",""
"","","atrata","Melampsalta atrata Goding & Froggatt, 1904","","Melampsalta","","atrata","","Synonym","synonym","Species","","Goding & Froggatt","1904","Y","36dceeba-b02e-4db0-932c-84c3c441cdb5","20250530T00:56:36.273+0000","5a7e4ce8-bded-474b-88e4-97fa621c0003","20250729T23:16:11.865+0000","","08642173-21d1-488d-bc02-9449631b01ab","Goding, F.W. & Froggatt, W.W.","1904","Monograph of the Australian Cicadidae","561-670, pls xviii, xix","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null30bf2cf0-4761-423b-9abb-c236e145611a' class='mouseoverHref'>Goding, F.W. & Froggatt, W.W. 1904. Monograph of the Australian Cicadidae.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>29</strong>(3): 561-670, pls xviii, xix<!--MARK-->","","Article in Journal","30bf2cf0-4761-423b-9abb-c236e145611a","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","atrata","Myopsalta atrata (Goding & Froggatt, 1904)","","Myopsalta","","atrata","","Generic Combination","","Species","","Goding & Froggatt","1904","N","db7425e8-ec55-4e11-b3b3-c9d7b35835bb","20250530T00:56:36.273+0000","5a7e4ce8-bded-474b-88e4-97fa621c0003","20250729T23:16:11.865+0000","","7c2392d3-0373-45eb-856e-cc402c7d6503","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","atrata","Notopsalta atrata (Goding & Froggatt, 1904)","","Notopsalta","","atrata","","Generic Combination","","Species","","Goding & Froggatt","1904","N","c7dc378e-2543-4339-a46a-82a72ba470ad","20250530T00:56:36.273+0000","5a7e4ce8-bded-474b-88e4-97fa621c0003","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","bassiana","Myopsalta bassiana Popple, 2017","CICADIDAE","Myopsalta","","bassiana","","Valid Name","","Species","","Popple","2017","Y","fab74db0-5dbb-49cd-8336-f967926eb64f","20250530T00:56:36.273+0000","26ea46b2-809b-4f84-8a29-f4b572d87a5d","20250729T23:16:11.865+0000","f8c0913f-4701-4ed0-b351-eeccf03ea857","26ea46b2-809b-4f84-8a29-f4b572d87a5d","","","","","","","","","","","","","","",""
"","","Montane Grass Buzzer","","","","","","","Common Name","General","Species","","","","","e89ee59d-a60f-4e1d-9522-2854b0c739c6","20250530T00:56:36.273+0000","26ea46b2-809b-4f84-8a29-f4b572d87a5d","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
